# ornekleri-dogrula.sh sonucu -- 2026-09-07 -- http://localhost:7860
# geçti: 49   kaldı: 62   sunucu: 1
betik	durum	özet
masaustu/src/main/resources/samples/tr/kojo-kilavuz/komutlar-genel.kojo	kaldı	41 hata: 37: not found: value Page   dez sayfa = Page(               ^
masaustu/src/main/resources/samples/tr/kojo-kilavuz/ornek-yazilimlar.kojo	geçti	
masaustu/src/main/resources/samples/tr/kojo-kilavuz/renklendirilmis-teker.kojo	geçti	
masaustu/src/main/resources/samples/tr/kojo-kilavuz/turler.kojo	kaldı	100 hata: 119: not found: value Page   dez sayfa = Page(               ^
masaustu/src/main/resources/samples/tr/l-systems.kojo	kaldı	1 hata: 45: type mismatch;  found   : ScalaFiddle.builtins.trTurtle.Yazı     (which expands to)  String  required: Char             eğer (kurallar.tanımlıMı(h)) kuralla
masaustu/src/main/resources/samples/tr/lamp-animation.kojo	kaldı	7 hata: 23: value doğrusalDeğişim is not a member of object ScalaFiddle.builtins.trTurtle.Renk         boyaRengi(Renk.doğrusalDeğişim(0, 10, kırmızı, 0, -40, kahverengi
masaustu/src/main/resources/samples/tr/lamp-animation2.kojo	kaldı	7 hata: 23: value doğrusalDeğişim is not a member of object ScalaFiddle.builtins.trTurtle.Renk     boyamaRenginiKur(Renk.doğrusalDeğişim(0, 0, kırmızı, 0, 130, sarı))  
masaustu/src/main/resources/samples/tr/lighted-star.kojo	kaldı	3 hata: 32: not found: value SahneIşığı dez sı1 = SahneIşığı(0.2, 0.8, 300, 30, 130)           ^
masaustu/src/main/resources/samples/tr/lunar-lander.kojo	geçti	
masaustu/src/main/resources/samples/tr/mandelbrot.kojo	kaldı	8 hata: 151: not found: type İmge tanım mKümesi(d: Dörtgen): İmge =                            ^
masaustu/src/main/resources/samples/tr/memory-cards.kojo	geçti	
masaustu/src/main/resources/samples/tr/multiplication-game.kojo	kaldı	10 hata: 59: not found: value ay dez yanıtKutusu = yeni ay.Yazıgirdisi(0) {                        ^
masaustu/src/main/resources/samples/tr/oyku-tanimlari.kojo	kaldı	1 hata: 33: To compile XML syntax, the scala.xml package must be on the classpath. Please see https://github.com/scala/scala-xml for details.     <p style={headerStyle}
masaustu/src/main/resources/samples/tr/penta-pattern.kojo	geçti	
masaustu/src/main/resources/samples/tr/physics-fma.kojo	geçti	
masaustu/src/main/resources/samples/tr/physics-uvats.kojo	geçti	
masaustu/src/main/resources/samples/tr/pong.kojo	geçti	
masaustu/src/main/resources/samples/tr/prime-factors.kojo	geçti	
masaustu/src/main/resources/samples/tr/primes.kojo	geçti	
masaustu/src/main/resources/samples/tr/radiance.kojo	kaldı	1 hata: 27: value merkezdenDışarıDoğruDeğişim is not a member of object ScalaFiddle.builtins.trTurtle.Renk dez ışıma = Renk.merkezdenDışarıDoğruDeğişim(0, 0, camgöbeği,
masaustu/src/main/resources/samples/tr/random-dots.kojo	geçti	
masaustu/src/main/resources/samples/tr/rangoli.kojo	geçti	
masaustu/src/main/resources/samples/tr/read-vector-bargraph.kojo	kaldı	1 hata: 37: value boşluk is not a member of ScalaFiddle.builtins.trTurtle.Resim dez çubukGrafiği = Resim.diziYatay(çubuklar).boşluk(5)                                  
masaustu/src/main/resources/samples/tr/read-vector-mean.kojo	geçti	
masaustu/src/main/resources/samples/tr/scala-tutorial.kojo	sunucu	HTTP 413: EntityStreamSizeException: incoming entity size (165684) exceeded size limit (65
masaustu/src/main/resources/samples/tr/shapes-cols.kojo	geçti	
masaustu/src/main/resources/samples/tr/sierpinski-tri.kojo	kaldı	1 hata: 19: value hex is not a member of object kojo.doodle.Color dez kirliBeyaz = renkler.hex(0xF2F5F1)                          ^
masaustu/src/main/resources/samples/tr/snowflake.kojo	geçti	
masaustu/src/main/resources/samples/tr/some-notes.kojo	kaldı	4 hata: 16: not found: value MusicScore dez ezgi = MusicScore(            ^
masaustu/src/main/resources/samples/tr/spiral-effects.kojo	kaldı	2 hata: 35: not found: value örgü     örgü(30, 5, 30, 5) -> artalan,     ^
masaustu/src/main/resources/samples/tr/spiral-hexagon-tiles.kojo	geçti	
masaustu/src/main/resources/samples/tr/spiral-square-tiles.kojo	geçti	
masaustu/src/main/resources/samples/tr/spiral.kojo	geçti	
masaustu/src/main/resources/samples/tr/sprite-animation.kojo	kaldı	2 hata: 32: value konum is not a member of ScalaFiddle.k1.Kaplumbağa     yineleDoğruysa(kap.konum.y < 40) {                        ^
masaustu/src/main/resources/samples/tr/sprite-boundary-polygon.kojo	kaldı	5 hata: 62: value çizBaştan is not a member of ScalaFiddle.builtins.trTurtle.Resim     noktaResmi.çizBaştan()                ^
masaustu/src/main/resources/samples/tr/square-pattern.kojo	geçti	
masaustu/src/main/resources/samples/tr/square.kojo	geçti	
masaustu/src/main/resources/samples/tr/subtraction-game.kojo	kaldı	10 hata: 60: not found: value ay dez yanıtKutusu = yeni ay.Yazıgirdisi(0) {                        ^
masaustu/src/main/resources/samples/tr/synchronized-squares.kojo	geçti	
masaustu/src/main/resources/samples/tr/synchronized-squares2.kojo	geçti	
masaustu/src/main/resources/samples/tr/tan-theta.kojo	kaldı	1 hata: 31: value doğrusalDeğişim is not a member of object ScalaFiddle.builtins.trTurtle.Renk boyamaRenginiKur(Renk.doğrusalDeğişim(                       ^
masaustu/src/main/resources/samples/tr/tangram-skier.kojo	kaldı	6 hata: 74: not found: value yansıtY     boyaRengi(mavi) * yansıtY * döndür(120) * götür(1.5, 0) -> r7,                       ^
masaustu/src/main/resources/samples/tr/tic-tac-toe.kojo	geçti	
masaustu/src/main/resources/samples/tr/tree0.kojo	geçti	
masaustu/src/main/resources/samples/tr/tree1.kojo	kaldı	1 hata: 40: not found: value aydınlık             götür(0, büyüklük - 5) * aydınlık(0.05) -> Resim.dizi(                                      ^
masaustu/src/main/resources/samples/tr/tree2.kojo	kaldı	1 hata: 42: value doğrusalDeğişim is not a member of object ScalaFiddle.builtins.trTurtle.Renk artalanıKur(Renk.doğrusalDeğişim(0, -100, kahverengi, 0, 100, açıkMavi)) 
masaustu/src/main/resources/samples/tr/tune1.kojo	kaldı	4 hata: 16: not found: value MusicScore dez ezgi = MusicScore(            ^
masaustu/src/main/resources/samples/tr/tune2.kojo	kaldı	7 hata: 17: not found: value MusicScore dez müzik = MusicScore(             ^
masaustu/src/main/resources/samples/tr/turtle-controller.kojo	kaldı	5 hata: 39: not found: value yorumla     yorumla(komutlar); satıryaz(komutlar)     ^
masaustu/src/main/resources/samples/tr/two-turtle-interaction.kojo	geçti	
masaustu/src/main/resources/samples/tr/two-turtle-interaction2.kojo	geçti	
masaustu/src/main/resources/samples/tr/unit-circle.kojo	kaldı	1 hata: 120: not found: value döndürMerkezli çiz(götür(-30, -200) * döndürMerkezli(-90, 0, 0) -> Resim.yazı("Kosinüs dalga => ...", Font("JetBrains Mono", 40), rKos))  
masaustu/src/main/resources/samples/tr/widgets-canvas.kojo	kaldı	1 hata: 23: To compile XML syntax, the scala.xml package must be on the classpath. Please see https://github.com/scala/scala-xml for details.     <html>     ^
