# ucurum.py tarama sonucu (tanımlayıcı taraması, derleme değil)
betik	durum	satır	engel	eksik
src/main/resources/samples/tr/tree0.kojo	eksik-ad	35		kym
src/main/resources/samples/tr/tree1.kojo	eksik-ad	33		aydınlık
src/main/resources/samples/tr/tree2.kojo	eksik-ad	29		doğrusalDeğişim kym
src/main/resources/samples/tr/tune1.kojo	platform	9	ses	
src/main/resources/samples/tr/tune2.kojo	platform	11	ses	
src/main/resources/samples/tr/turtle-controller.kojo	eksik-ad	77		düğme yorumla
src/main/resources/samples/tr/two-turtle-interaction.kojo	eksik-ad	24		çevir
src/main/resources/samples/tr/two-turtle-interaction2.kojo	eksik-ad	28		çevir
src/main/resources/samples/tr/unit-circle.kojo	çalışır	106		
src/main/resources/samples/tr/widgets-canvas.kojo	platform	54	arayüz	Düğme Salındıraç Sütun Sıra Tanıt Yazıgirdisi arayüz ay değeri şekil
